class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
0,171,171,172,165,101,78,179,177
0,166,161,161,162,103,75,176,180
0,179,176,140,165,124,54,179,177
0,163,161,155,162,138,44,176,171
0,179,170,152,161,93,82,178,177
0,175,168,145,148,160,20,177,179
0,174,174,161,169,101,80,179,177
0,167,172,177,171,23,157,180,180
0,176,165,165,166,96,80,176,171
0,160,161,158,167,80,101,175,176
0,173,176,158,165,65,115,175,176
0,154,155,150,164,121,59,174,180
0,169,169,179,149,156,26,168,170
0,178,174,149,143,72,108,175,176
0,173,171,160,168,41,138,174,176
0,176,177,167,168,119,60,174,170
0,148,144,157,153,123,58,178,180
0,168,176,155,149,151,29,169,171
0,169,172,156,159,79,92,177,169
0,163,169,172,171,33,145,179,180
0,177,177,167,167,154,29,176,175
0,179,170,152,161,93,82,178,177
0,176,179,163,170,121,59,178,177
0,170,174,172,176,139,43,170,172
0,177,176,157,164,90,89,178,179
0,173,173,165,167,6,172,176,178
0,160,151,164,168,32,137,168,161
0,172,167,167,157,28,150,178,180
0,177,173,168,173,67,110,180,176
0,65,82,117,92,50,166,111,166
0,172,173,173,176,50,129,177,179
0,178,179,179,175,24,156,177,178
0,172,173,164,163,40,139,175,169
0,170,171,152,149,1,180,159,162
0,174,172,165,165,108,71,154,157
0,174,175,166,166,63,115,179,176
0,175,175,159,152,30,148,176,173
0,175,171,174,177,135,38,167,170
0,171,165,170,160,180,1,177,177
0,168,159,169,158,80,96,179,163
0,162,162,166,172,164,16,180,179
0,180,179,165,162,94,85,178,173
0,171,178,171,177,44,135,179,178
0,175,180,160,164,71,107,178,179
0,176,175,168,173,59,118,179,176
0,166,161,164,164,124,55,172,179
0,160,159,159,158,81,96,177,179
0,175,178,168,163,78,103,179,179
0,176,176,162,160,101,78,174,175
0,165,165,168,154,31,147,159,163
0,177,178,175,178,65,113,179,178
0,178,173,180,178,68,110,177,175
0,146,148,163,153,103,71,160,164
0,171,176,167,162,108,74,180,178
0,171,168,155,158,84,95,179,180
0,176,172,165,161,16,163,180,178
0,161,161,168,176,67,113,178,174
0,148,158,122,141,134,43,176,78
0,159,166,156,160,50,126,163,159
0,177,173,160,156,56,118,178,176
0,165,166,151,158,49,131,171,172
0,175,171,159,156,97,82,171,171
0,5,20,178,102,117,52,172,99
0,174,170,159,160,161,19,178,178
0,175,176,169,169,57,122,177,176
1,176,179,166,171,177,160,140,69
1,169,172,162,162,139,175,124,82
1,166,158,150,157,145,116,61,133
1,167,172,164,165,165,176,79,138
1,174,179,158,165,148,172,129,67
1,163,165,165,163,173,177,61,146
1,172,158,134,144,160,169,136,43
1,146,144,157,153,166,155,51,139
1,163,165,180,176,142,169,134,65
1,158,150,159,159,131,157,136,77
1,174,176,161,175,158,164,150,61
1,166,168,161,161,155,156,53,150
1,157,162,171,170,169,131,76,124
1,171,167,167,170,149,164,166,108
1,175,178,160,162,162,155,103,161
1,167,159,170,170,154,123,71,137
1,153,158,168,159,166,176,140,48
1,154,160,130,131,171,147,111,70
1,147,139,161,175,171,175,136,55
1,172,159,163,165,157,122,88,159
1,178,179,159,166,180,104,93,105
1,156,155,170,173,46,19,133,85
1,163,166,167,164,178,161,67,136
1,159,160,177,173,155,176,137,83
1,174,175,164,159,175,160,79,137
1,177,176,175,176,159,148,151,68
1,155,159,29,148,159,148,68,138
1,55,167,164,158,168,139,100,82
1,162,168,173,160,135,137,81,22
1,173,167,152,159,165,154,142,58
1,165,174,164,171,172,150,140,79
1,156,148,157,158,136,165,135,79
1,177,174,172,164,171,162,73,136
1,156,179,165,152,12,52,78,129
1,178,178,165,161,174,149,57,137
1,140,149,23,167,83,176,88,145
1,177,179,161,157,178,170,69,143
1,134,119,176,168,179,151,56,123
1,156,136,171,150,155,147,113,165
1,179,173,163,163,129,159,137,75
1,172,170,175,173,168,134,109,155
1,178,174,172,172,179,100,90,103
1,164,164,152,152,137,109,61,132
1,139,159,164,143,166,149,74,115
1,151,147,141,149,131,101,102,68
1,166,168,175,168,166,154,72,120
1,166,154,166,175,170,179,112,53
1,171,180,160,165,155,180,136,71
2,96,96,175,180,98,162,171,178
2,100,89,167,177,1,86,177,172
2,82,82,162,162,156,107,169,179
2,54,116,77,173,74,176,160,47
2,94,93,169,179,89,0,178,168
