class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
0,173.0,171.0,160.0,168.0,41.0,138.0,174.0,176.0
1,176.0,179.0,166.0,171.0,177.0,160.0,140.0,69.0
2,120.0,72.0,176.0,174.0,163.0,115.0,162.0,175.0
3,162.0,172.0,128.0,110.0,131.0,47.0,179.0,180.0
4,69.0,69.0,174.0,177.0,176.0,7.0,88.0,86.0
5,166.0,141.0,138.0,72.0,18.0,159.0,131.0,175.0
6,72.0,71.0,159.0,178.0,168.0,12.0,43.0,65.0
7,163.0,174.0,174.0,167.0,105.0,144.0,155.0,171.0
8,78.0,83.0,177.0,176.0,43.0,137.0,91.0,90.0
9,62.0,60.0,176.0,172.0,46.0,134.0,167.0,169.0
10,51.0,165.0,172.0,154.0,157.0,155.0,176.0,100.0
11,91.0,100.0,77.0,178.0,5.0,175.0,159.0,10.0
12,67.0,69.0,175.0,179.0,98.0,69.0,177.0,173.0
13,69.0,73.0,174.0,164.0,109.0,67.0,61.0,55.0
14,15.0,14.0,174.0,177.0,78.0,99.0,176.0,171.0
15,112.0,69.0,168.0,166.0,96.0,165.0,177.0,169.0
16,147.0,137.0,172.0,166.0,31.0,148.0,125.0,125.0
17,18.0,19.0,174.0,176.0,29.0,151.0,159.0,161.0
18,59.0,59.0,155.0,155.0,86.0,99.0,93.0,86.0
19,78.0,77.0,83.0,93.0,163.0,149.0,124.0,122.0
20,122.0,105.0,174.0,176.0,104.0,175.0,177.0,172.0
21,53.0,175.0,168.0,173.0,136.0,98.0,80.0,177.0
22,65.0,119.0,178.0,173.0,83.0,83.0,174.0,168.0
23,159.0,154.0,161.0,162.0,157.0,170.0,172.0,92.0
24,132.0,124.0,149.0,152.0,111.0,159.0,164.0,179.0
25,108.0,98.0,175.0,179.0,159.0,130.0,109.0,171.0
26,34.0,33.0,52.0,57.0,141.0,92.0,32.0,178.0
